Title,Price,Image_URL,Product_URL
"Frenk Bettjer: Muvaffaqiyat sirlari","35000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/64f1a415e4419.jpg.webp","https://asaxiy.uz/uz/product/frenk-bettjer-muvaffaqiyat-sirlari"
"Paulo Koelo: Alif","59000","https://assets.asaxiy.uz/product/main_image/desktop/69005ccb78e3f.png","https://asaxiy.uz/uz/product/paulo-koelo-alif"
"Diyora Murodxo'jayeva: Nozik ohang","79000","https://assets.asaxiy.uz/product/main_image/desktop/69009869b9f02.png","https://asaxiy.uz/uz/product/diyora-murodhodjaeva-hrupkaya-melodiya"
" Asaxiy Books yil bestsellerlari 2024  to‘plami","899000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/67600cb370dec.png.webp","https://asaxiy.uz/uz/product/asaxiy-books-yil-bestsellerlari-2024-tuplami"
"Firuz Allayev: Tadbirkor","59000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900776bcb2dd.png","https://asaxiy.uz/uz/product/firuz-allaev-tadbirkor"
"Ellen Feyn  Sherri Shnayder: Oqila ayol qoidalari (qattiq muqova)","63000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/666be49222676.jpg.webp","https://asaxiy.uz/uz/product/ellen-fein-sherri-shnaider-okila-ael-koidalari"
"Mich Elbom: Morrining seshanba darslari","39000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/62d0053d96186.jpg","https://asaxiy.uz/uz/product/mich-elbom-morrining-seshanba-darslari"
"Nadejda Kevorkova: Falastin: Agar o‘lishim lozim bo‘lsa...","64000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6818f2089d1b8.webp","https://asaxiy.uz/uz/product/nadejda-kevorkova-falastin-agar-ulishim-lozim-bulsa"
"Deyl Karnegi: Do‘st orttirish va odamlarga ta’sir o‘tkazish xususida","65000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/64f1a3c746b71.jpg.webp","https://asaxiy.uz/uz/product/deyl-karnegi-dust-orttirish-va-odamlarga-tasir-utkazish-hususida"
"Yona Berger: Yuqumlilik. Mahsulot va g‘oyalar qanday ommalashadi","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69006e90e5f2b.png","https://asaxiy.uz/uz/product/iona-berger-yukumlilik-mahsulot-va-goyalar-kandai-ommalashadi-yumshok-mukova"
"Robert Kiyosaki: Boy ota  kambag‘al ota","35000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/64ba41294f37e.jpg","https://asaxiy.uz/uz/product/robert-kijosaki-boj-ota-kambagal-ota-25000-sum"
"Jerom Selinjer: Javdarzordagi xaloskor","59000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69005ff0a23a6.png","https://asaxiy.uz/uz/product/zherom-selinzher-zhavdarzordagi-haloskor-yumshok-mukova"
"Andrey Kurpatov: Qizil tabletka","59000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/67fdf7a9f2616.jpg.webp","https://asaxiy.uz/uz/product/adrey-kurpatov-qizil-tabletka"
